Type,Type_E,Total,Managerial
サービス業(他に分類されないもの),Service (Other),26.7,10.1
"鉱業,採石業,砂利採取業 ",Mining/Quarrying,13.7,1.5
建設業,Construction,14.1,2.9
製造業 ,Manufacturing,19.8,4.1
電気・ガス・熱供給・水道業 ,Electricity/Gas/Heating/Water,10.4,3.2
情報通信業 ,Information/Communication,23.3,8
"運輸業,郵便業 ",Transportation/Postal Services,11.3,4.8
"卸売業,小売業",Wholesale/Retail,32.3,7.1
"金融業,保険業",Finance/Insurance,42.8,13.1
"不動産業,物品賃貸業",Real Estate/Rental and Leasing,30.2,7.8
"学術研究,専門・技術サービス業",Research/Professional/Technical,22.9,7.2
"宿泊業,飲食サービス業",Accommodations/Eating/Drinking,36.6,9.7
"生活関連サービス業,娯楽業",Personal Services/Entertainment ,42.3,12.2
"教育,学習支援業",Education,36.1,19.4
"医療,福祉",Medical/Health Care/Welfare,65.2,42.2
複合サービス事業,Compound Services,21.4,7
